ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000858.SZ,20200821,220.0,220.98,216.44,218.4,216.44,1.96,0.9056,157318.61,3438178.399
000858.SZ,20200820,220.0,220.92,216.0,216.44,222.2,-5.76,-2.5923,184906.63,4022580.052
000858.SZ,20200819,220.47,225.96,217.27,222.2,220.57,1.63,0.739,238472.68,5300628.768
000858.SZ,20200818,219.99,223.0,218.12,220.57,219.99,0.58,0.2636,190382.49,4208955.657
000858.SZ,20200817,214.5,222.0,214.5,219.99,212.9,7.09,3.3302,315155.99,6913069.145
000858.SZ,20200814,206.3,213.3,206.22,212.9,206.9,6.0,2.9,244314.91,5144549.732
000858.SZ,20200813,208.0,210.0,205.5,206.9,206.47,0.43,0.2083,123209.69,2555092.632
000858.SZ,20200812,207.92,209.88,203.04,206.47,209.0,-2.53,-1.2105,180249.93,3701984.354
000858.SZ,20200811,207.0,213.35,207.0,209.0,205.94,3.06,1.4859,250090.77,5285963.734
000858.SZ,20200810,207.26,208.88,202.94,205.94,207.26,-1.32,-0.6369,191521.0,3941811.351
000858.SZ,20200807,210.0,213.0,203.18,207.26,211.02,-3.76,-1.7818,287235.84,5960012.764
000858.SZ,20200806,217.48,218.54,209.66,211.02,217.48,-6.46,-2.9704,323043.59,6855967.077
000858.SZ,20200805,215.6,217.76,213.0,217.48,215.8,1.68,0.7785,186712.38,4024536.334
000858.SZ,20200804,217.5,219.8,214.0,215.8,217.72,-1.92,-0.8819,206769.41,4483369.686
000858.SZ,20200803,218.18,219.93,215.2,217.72,217.5,0.22,0.1011,201453.55,4369803.363
000858.SZ,20200731,216.51,221.01,214.28,217.5,216.32,1.18,0.5455,262317.82,5707639.443
000858.SZ,20200730,214.0,218.05,213.0,216.32,214.98,1.34,0.6233,253225.64,5483434.28
000858.SZ,20200729,214.35,215.48,209.01,214.98,214.0,0.98,0.4579,301364.14,6417584.055
000858.SZ,20200728,205.89,216.94,204.67,214.0,204.1,9.9,4.8506,384497.12,8143034.019
000858.SZ,20200727,203.39,206.8,201.41,204.1,201.39,2.71,1.3456,246346.88,5038945.709
000858.SZ,20200724,208.0,208.95,198.0,201.39,210.07,-8.68,-4.132,405386.26,8233915.251
000858.SZ,20200723,207.3,211.9,205.6,210.07,208.9,1.17,0.5601,265413.11,5547862.012
000858.SZ,20200722,204.25,212.87,202.75,208.9,205.58,3.32,1.6149,280663.23,5873887.494
000858.SZ,20200721,201.0,208.9,198.8,205.58,201.68,3.9,1.9338,317858.76,6514435.742
000858.SZ,20200720,205.5,208.5,191.01,201.68,205.39,-3.71,-1.8063,442906.56,8808311.369
000858.SZ,20200717,195.0,209.7,195.0,205.39,201.56,3.83,1.9002,529766.77,10785868.982
000858.SZ,20200716,221.0,221.05,201.56,201.56,223.95,-22.39,-9.9978,705736.69,14817949.981
000858.SZ,20200715,219.0,226.0,217.6,223.95,220.9,3.05,1.3807,371699.54,8289624.15
000858.SZ,20200714,218.3,225.33,212.03,220.9,218.2,2.7,1.2374,438733.08,9589876.574
000858.SZ,20200713,207.0,225.0,207.0,218.2,207.0,11.2,5.4106,488807.22,10648696.886
000858.SZ,20200710,203.0,211.8,200.8,207.0,203.72,3.28,1.6101,335475.81,6923294.758
000858.SZ,20200709,203.39,205.36,201.5,203.72,203.36,0.36,0.177,295243.49,5988999.45
000858.SZ,20200708,201.5,205.8,199.0,203.36,201.89,1.47,0.7281,292322.55,5907018.139
000858.SZ,20200707,192.78,206.38,190.32,201.89,192.82,9.07,4.7039,384111.25,7693352.358
000858.SZ,20200706,188.71,196.0,185.56,192.82,188.72,4.1,2.1725,328431.07,6291466.679
000858.SZ,20200703,189.99,190.5,182.5,188.72,189.49,-0.77,-0.4064,308159.41,5745184.556
000858.SZ,20200702,180.0,192.34,179.88,189.49,181.98,7.51,4.1268,348870.21,6549218.075
000858.SZ,20200701,171.12,185.1,171.12,181.98,171.12,10.86,6.3464,271818.36,4886748.745
000858.SZ,20200630,168.54,171.67,168.5,171.12,167.5,3.62,2.1612,189897.62,3238678.111
